project_key,date,closed_pr_count_daily,merged_pr_count_daily,avg_comments_closed_daily,median_comments_closed_daily,avg_comments_merged_daily,median_comments_merged_daily
mpieniak01/Venom,2026-01-01,2,2,6.5,6.5,6.5,6.5
mpieniak01/Venom,2026-01-02,3,3,5.3333,0,5.3333,0
mpieniak01/Venom,2026-01-03,0,0,,,,
mpieniak01/Venom,2026-01-04,0,0,,,,
mpieniak01/Venom,2026-01-05,3,3,6.0,1,6.0,1
mpieniak01/Venom,2026-01-06,0,0,,,,
mpieniak01/Venom,2026-01-07,3,2,5.6667,0,8.5,8.5
mpieniak01/Venom,2026-01-08,6,6,4.5,0.0,4.5,0.0
mpieniak01/Venom,2026-01-09,0,0,,,,
mpieniak01/Venom,2026-01-10,0,0,,,,
mpieniak01/Venom,2026-01-11,0,0,,,,
mpieniak01/Venom,2026-01-12,0,0,,,,
mpieniak01/Venom,2026-01-13,0,0,,,,
mpieniak01/Venom,2026-01-14,0,0,,,,
mpieniak01/Venom,2026-01-15,0,0,,,,
mpieniak01/Venom,2026-01-16,0,0,,,,
mpieniak01/Venom,2026-01-17,3,2,5.0,0,7.5,7.5
mpieniak01/Venom,2026-01-18,3,3,5.6667,0,5.6667,0
mpieniak01/Venom,2026-01-19,0,0,,,,
mpieniak01/Venom,2026-01-20,0,0,,,,
mpieniak01/Venom,2026-01-21,0,0,,,,
mpieniak01/Venom,2026-01-22,0,0,,,,
mpieniak01/Venom,2026-01-23,0,0,,,,
mpieniak01/Venom,2026-01-24,3,3,14.6667,3,14.6667,3
mpieniak01/Venom,2026-01-25,0,0,,,,
mpieniak01/Venom,2026-01-26,0,0,,,,
mpieniak01/Venom,2026-01-27,2,2,18.0,18.0,18.0,18.0
mpieniak01/Venom,2026-01-28,1,1,0.0,0,0.0,0
mpieniak01/Venom,2026-01-29,0,0,,,,
mpieniak01/Venom,2026-01-30,2,2,12.0,12.0,12.0,12.0
mpieniak01/Venom,2026-01-31,5,5,10.0,8,10.0,8
mpieniak01/Venom,2026-02-01,3,3,11.3333,6,11.3333,6
mpieniak01/Venom,2026-02-02,1,1,12.0,12,12.0,12
mpieniak01/Venom,2026-02-03,1,1,16.0,16,16.0,16
mpieniak01/Venom,2026-02-04,2,1,1.0,1.0,1.0,1
mpieniak01/Venom,2026-02-05,1,1,22.0,22,22.0,22
mpieniak01/Venom,2026-02-06,4,4,10.25,10.0,10.25,10.0
mpieniak01/Venom,2026-02-07,4,4,8.25,8.5,8.25,8.5
mpieniak01/Venom,2026-02-08,8,8,10.0,9.5,10.0,9.5
mpieniak01/Venom,2026-02-09,16,14,6.0,5.5,6.0714,5.5
mpieniak01/Venom,2026-02-10,6,6,11.1667,6.5,11.1667,6.5
mpieniak01/Venom,2026-02-11,5,5,21.0,17,21.0,17
mpieniak01/Venom,2026-02-12,10,9,12.4,6.5,13.4444,8
mpieniak01/Venom,2026-02-13,5,5,15.4,14,15.4,14
mpieniak01/Venom,2026-02-14,10,10,16.0,10.5,16.0,10.5
mpieniak01/Venom,2026-02-15,3,3,6.0,5,6.0,5
mpieniak01/Venom,2026-02-16,3,3,12.6667,14,12.6667,14
mpieniak01/Venom,2026-02-17,3,3,5.3333,5,5.3333,5
mpieniak01/Venom,2026-02-18,9,9,7.0,7,7.0,7
mpieniak01/Venom,2026-02-19,1,1,39.0,39,39.0,39
mpieniak01/Venom,2026-02-20,1,1,58.0,58,58.0,58
mpieniak01/Venom,2026-02-21,4,4,4.25,3.0,4.25,3.0
mpieniak01/Venom,2026-02-22,2,2,14.5,14.5,14.5,14.5
mpieniak01/Venom,2026-02-23,1,1,6.0,6,6.0,6
mpieniak01/Venom,2026-02-24,5,5,10.4,6,10.4,6
mpieniak01/Venom,2026-02-25,1,1,11.0,11,11.0,11
mpieniak01/Venom,2026-02-26,1,1,8.0,8,8.0,8
mpieniak01/Venom,2026-02-27,4,4,6.0,5.5,6.0,5.5
mpieniak01/Venom,2026-02-28,6,6,8.0,7.0,8.0,7.0
mpieniak01/Venom,2026-03-01,4,4,7.25,6.5,7.25,6.5
mpieniak01/Venom,2026-03-02,4,4,6.25,7.0,6.25,7.0
mpieniak01/Venom,2026-03-03,6,4,8.3333,8.5,12.5,13.5
mpieniak01/Venom,2026-03-04,5,5,10.8,11,10.8,11
mpieniak01/Venom,2026-03-05,2,2,7.0,7.0,7.0,7.0
mpieniak01/Venom,2026-03-06,2,2,8.0,8.0,8.0,8.0
mpieniak01/Venom,2026-03-07,1,1,7.0,7,7.0,7
mpieniak01/Venom,2026-03-08,0,0,,,,
mpieniak01/Venom,2026-03-09,1,1,5.0,5,5.0,5
mpieniak01/Venom,2026-03-10,3,3,10.3333,7,10.3333,7
mpieniak01/Venom,2026-03-11,2,2,8.0,8.0,8.0,8.0
mpieniak01/Venom,2026-03-12,3,3,6.6667,6,6.6667,6
mpieniak01/Venom,2026-03-13,4,4,6.5,6.5,6.5,6.5
mpieniak01/Venom,2026-03-14,2,2,10.5,10.5,10.5,10.5
mpieniak01/Venom,2026-03-15,3,1,8.3333,9,9.0,9
mpieniak01/Venom,2026-03-16,1,1,7.0,7,7.0,7
mpieniak01/Venom,2026-03-17,1,1,17.0,17,17.0,17
mpieniak01/Venom,2026-03-18,1,1,9.0,9,9.0,9
mpieniak01/Venom,2026-03-19,0,0,,,,
mpieniak01/Venom,2026-03-20,0,0,,,,
mpieniak01/Venom,2026-03-21,0,0,,,,
mpieniak01/Venom,2026-03-22,1,1,4.0,4,4.0,4
mpieniak01/Venom,2026-03-23,0,0,,,,
mpieniak01/Venom,2026-03-24,0,0,,,,
mpieniak01/Venom,2026-03-25,0,0,,,,
mpieniak01/Venom,2026-03-26,0,0,,,,
mpieniak01/Venom,2026-03-27,0,0,,,,
mpieniak01/Venom,2026-03-28,0,0,,,,
mpieniak01/Venom,2026-03-29,0,0,,,,
mpieniak01/Venom,2026-03-30,0,0,,,,
mpieniak01/Venom,2026-03-31,0,0,,,,
