table_name,metric_scope,project_key,metric_name,metric_value,aggregation,source_table,sample_size,notes
summary_205B_project_kpi,project_q1,Maps-Messaging_mapsmessaging_server,issues_avg_q1,890.1111,avg,src_205B_timeseries,90,
summary_205B_project_kpi,project_q1,Maps-Messaging_mapsmessaging_server,technical_debt_days_avg_q1,14.4013,avg,src_205B_timeseries,90,
summary_205B_project_kpi,project_q1,Maps-Messaging_mapsmessaging_server,lines_of_code_max_q1,100878.0,max,src_205B_timeseries,90,
summary_205B_project_kpi,project_q1,Maps-Messaging_mapsmessaging_server,line_coverage_pct_avg_q1,49.83,avg,src_205B_timeseries,90,
summary_205B_project_kpi,project_q1,apache_kvrocks,issues_avg_q1,4056.1667,avg,src_205B_timeseries,90,
summary_205B_project_kpi,project_q1,apache_kvrocks,technical_debt_days_avg_q1,64.4163,avg,src_205B_timeseries,90,
summary_205B_project_kpi,project_q1,apache_kvrocks,lines_of_code_max_q1,95563.0,max,src_205B_timeseries,90,
summary_205B_project_kpi,project_q1,apache_kvrocks,line_coverage_pct_avg_q1,63.5267,avg,src_205B_timeseries,90,
summary_205B_project_kpi,project_q1,aws_aws-sdk-java-v2,issues_avg_q1,3833.8989,avg,src_205B_timeseries,90,
summary_205B_project_kpi,project_q1,aws_aws-sdk-java-v2,technical_debt_days_avg_q1,53.3891,avg,src_205B_timeseries,90,
summary_205B_project_kpi,project_q1,aws_aws-sdk-java-v2,lines_of_code_max_q1,248005.0,max,src_205B_timeseries,90,
summary_205B_project_kpi,project_q1,aws_aws-sdk-java-v2,line_coverage_pct_avg_q1,72.7584,avg,src_205B_timeseries,90,
summary_205B_project_kpi,project_q1,bcgov-sonarcloud_mds_core-web,issues_avg_q1,849.122,avg,src_205B_timeseries,90,
summary_205B_project_kpi,project_q1,bcgov-sonarcloud_mds_core-web,technical_debt_days_avg_q1,11.575,avg,src_205B_timeseries,90,
summary_205B_project_kpi,project_q1,bcgov-sonarcloud_mds_core-web,lines_of_code_max_q1,70165.0,max,src_205B_timeseries,90,
summary_205B_project_kpi,project_q1,bcgov-sonarcloud_mds_core-web,line_coverage_pct_avg_q1,61.472,avg,src_205B_timeseries,90,
summary_205B_project_kpi,project_q1,element-web,issues_avg_q1,4352.125,avg,src_205B_timeseries,90,
summary_205B_project_kpi,project_q1,element-web,technical_debt_days_avg_q1,36.6175,avg,src_205B_timeseries,90,
summary_205B_project_kpi,project_q1,element-web,lines_of_code_max_q1,467814.0,max,src_205B_timeseries,90,
summary_205B_project_kpi,project_q1,element-web,line_coverage_pct_avg_q1,70.5859,avg,src_205B_timeseries,90,
summary_205B_project_kpi,project_q1,geoserver_geoserver-cloud,issues_avg_q1,2.127,avg,src_205B_timeseries,90,
summary_205B_project_kpi,project_q1,geoserver_geoserver-cloud,technical_debt_days_avg_q1,0.0046,avg,src_205B_timeseries,90,
summary_205B_project_kpi,project_q1,geoserver_geoserver-cloud,lines_of_code_max_q1,48214.0,max,src_205B_timeseries,90,
summary_205B_project_kpi,project_q1,geoserver_geoserver-cloud,line_coverage_pct_avg_q1,61.8349,avg,src_205B_timeseries,90,
summary_205B_project_kpi,project_q1,googleapis_gapic-generator-java,issues_avg_q1,12293.2209,avg,src_205B_timeseries,90,
summary_205B_project_kpi,project_q1,googleapis_gapic-generator-java,technical_debt_days_avg_q1,154.3798,avg,src_205B_timeseries,90,
summary_205B_project_kpi,project_q1,googleapis_gapic-generator-java,lines_of_code_max_q1,389092.0,max,src_205B_timeseries,90,
summary_205B_project_kpi,project_q1,googleapis_gapic-generator-java,line_coverage_pct_avg_q1,19.2698,avg,src_205B_timeseries,90,
summary_205B_project_kpi,project_q1,indigo-iam_iam,issues_avg_q1,939.0533,avg,src_205B_timeseries,90,
summary_205B_project_kpi,project_q1,indigo-iam_iam,technical_debt_days_avg_q1,9.9121,avg,src_205B_timeseries,90,
summary_205B_project_kpi,project_q1,indigo-iam_iam,lines_of_code_max_q1,55454.0,max,src_205B_timeseries,90,
summary_205B_project_kpi,project_q1,indigo-iam_iam,line_coverage_pct_avg_q1,85.7013,avg,src_205B_timeseries,90,
summary_205B_project_kpi,project_q1,mediawiki-core,issues_avg_q1,2568.2222,avg,src_205B_timeseries,90,
summary_205B_project_kpi,project_q1,mediawiki-core,technical_debt_days_avg_q1,131.537,avg,src_205B_timeseries,90,
summary_205B_project_kpi,project_q1,mediawiki-core,lines_of_code_max_q1,582378.0,max,src_205B_timeseries,90,
summary_205B_project_kpi,project_q1,mediawiki-core,line_coverage_pct_avg_q1,13.6344,avg,src_205B_timeseries,90,
summary_205B_project_kpi,project_q1,mpieniak01_Venom,issues_avg_q1,173.463,avg,src_205B_timeseries,90,
summary_205B_project_kpi,project_q1,mpieniak01_Venom,technical_debt_days_avg_q1,1.9707,avg,src_205B_timeseries,90,
summary_205B_project_kpi,project_q1,mpieniak01_Venom,lines_of_code_max_q1,138011.0,max,src_205B_timeseries,90,
summary_205B_project_kpi,project_q1,mpieniak01_Venom,line_coverage_pct_avg_q1,76.052,avg,src_205B_timeseries,90,
summary_205B_project_kpi,project_q1,org.opengrok:opengrok-top,issues_avg_q1,1054.1512,avg,src_205B_timeseries,90,
summary_205B_project_kpi,project_q1,org.opengrok:opengrok-top,technical_debt_days_avg_q1,17.8309,avg,src_205B_timeseries,90,
summary_205B_project_kpi,project_q1,org.opengrok:opengrok-top,lines_of_code_max_q1,64487.0,max,src_205B_timeseries,90,
summary_205B_project_kpi,project_q1,org.opengrok:opengrok-top,line_coverage_pct_avg_q1,71.2488,avg,src_205B_timeseries,90,
summary_205C_project_velocity,project_q1,FreedomIntelligence/OpenClaw-Medical-Skills,commits_sum_q1,46.0,sum,src_205C_timeseries,90,
summary_205C_project_velocity,project_q1,FreedomIntelligence/OpenClaw-Medical-Skills,churn_sum_q1,2168932.0,sum,src_205C_timeseries,90,
summary_205C_project_velocity,project_q1,FreedomIntelligence/OpenClaw-Medical-Skills,authors_avg_daily_q1,0.1889,avg,src_205C_timeseries,90,
summary_205C_project_velocity,project_q1,JefferyHcool/BiliNote,commits_sum_q1,62.0,sum,src_205C_timeseries,90,
summary_205C_project_velocity,project_q1,JefferyHcool/BiliNote,churn_sum_q1,1090126.0,sum,src_205C_timeseries,90,
summary_205C_project_velocity,project_q1,JefferyHcool/BiliNote,authors_avg_daily_q1,0.1222,avg,src_205C_timeseries,90,
summary_205C_project_velocity,project_q1,allenai/olmocr,commits_sum_q1,94.0,sum,src_205C_timeseries,90,
summary_205C_project_velocity,project_q1,allenai/olmocr,churn_sum_q1,31734.0,sum,src_205C_timeseries,90,
summary_205C_project_velocity,project_q1,allenai/olmocr,authors_avg_daily_q1,0.2333,avg,src_205C_timeseries,90,
summary_205C_project_velocity,project_q1,hiddify/Hiddify-Manager,commits_sum_q1,65.0,sum,src_205C_timeseries,90,
summary_205C_project_velocity,project_q1,hiddify/Hiddify-Manager,churn_sum_q1,1342.0,sum,src_205C_timeseries,90,
summary_205C_project_velocity,project_q1,hiddify/Hiddify-Manager,authors_avg_daily_q1,0.2889,avg,src_205C_timeseries,90,
summary_205C_project_velocity,project_q1,khoj-ai/khoj,commits_sum_q1,39.0,sum,src_205C_timeseries,90,
summary_205C_project_velocity,project_q1,khoj-ai/khoj,churn_sum_q1,7581.0,sum,src_205C_timeseries,90,
summary_205C_project_velocity,project_q1,khoj-ai/khoj,authors_avg_daily_q1,0.2333,avg,src_205C_timeseries,90,
summary_205C_project_velocity,project_q1,mpieniak01/Venom,commits_sum_q1,1587.0,sum,src_205C_timeseries,90,
summary_205C_project_velocity,project_q1,mpieniak01/Venom,churn_sum_q1,718591.0,sum,src_205C_timeseries,90,
summary_205C_project_velocity,project_q1,mpieniak01/Venom,authors_avg_daily_q1,1.0333,avg,src_205C_timeseries,90,
summary_205C_project_velocity,project_q1,neuropsychology/NeuroKit,commits_sum_q1,105.0,sum,src_205C_timeseries,90,
summary_205C_project_velocity,project_q1,neuropsychology/NeuroKit,churn_sum_q1,123647.0,sum,src_205C_timeseries,90,
summary_205C_project_velocity,project_q1,neuropsychology/NeuroKit,authors_avg_daily_q1,0.2222,avg,src_205C_timeseries,90,
summary_205C_project_velocity,project_q1,omkarcloud/botasaurus,commits_sum_q1,43.0,sum,src_205C_timeseries,90,
summary_205C_project_velocity,project_q1,omkarcloud/botasaurus,churn_sum_q1,2299.0,sum,src_205C_timeseries,90,
summary_205C_project_velocity,project_q1,omkarcloud/botasaurus,authors_avg_daily_q1,0.1556,avg,src_205C_timeseries,90,
summary_205C_project_velocity,project_q1,originalankur/maptoposter,commits_sum_q1,51.0,sum,src_205C_timeseries,90,
summary_205C_project_velocity,project_q1,originalankur/maptoposter,churn_sum_q1,6231.0,sum,src_205C_timeseries,90,
summary_205C_project_velocity,project_q1,originalankur/maptoposter,authors_avg_daily_q1,0.3333,avg,src_205C_timeseries,90,
summary_205C_project_velocity,project_q1,virt-manager/virt-manager,commits_sum_q1,57.0,sum,src_205C_timeseries,90,
summary_205C_project_velocity,project_q1,virt-manager/virt-manager,churn_sum_q1,20832.0,sum,src_205C_timeseries,90,
summary_205C_project_velocity,project_q1,virt-manager/virt-manager,authors_avg_daily_q1,0.5,avg,src_205C_timeseries,90,
summary_205C_project_velocity,project_q1,xlenore/ps2-covers,commits_sum_q1,45.0,sum,src_205C_timeseries,90,
summary_205C_project_velocity,project_q1,xlenore/ps2-covers,churn_sum_q1,84517.0,sum,src_205C_timeseries,90,
summary_205C_project_velocity,project_q1,xlenore/ps2-covers,authors_avg_daily_q1,0.1111,avg,src_205C_timeseries,90,
summary_205D_project_pr_flow,project_q1,FreedomIntelligence/OpenClaw-Medical-Skills,pr_opened_sum_q1,12.0,sum,src_205D_timeseries,90,
summary_205D_project_pr_flow,project_q1,FreedomIntelligence/OpenClaw-Medical-Skills,pr_merged_sum_q1,10.0,sum,src_205D_timeseries,90,
summary_205D_project_pr_flow,project_q1,FreedomIntelligence/OpenClaw-Medical-Skills,pr_active_avg_daily_q1,0.0556,avg,src_205D_timeseries,90,
summary_205D_project_pr_flow,project_q1,FreedomIntelligence/OpenClaw-Medical-Skills,pr_median_lead_time_hours_q1,13.0893,median,src_205D_timeseries,6,median z dziennych median lead time
summary_205D_project_pr_flow,project_q1,FreedomIntelligence/OpenClaw-Medical-Skills,pr_avg_lead_time_hours_q1,9.8643,avg,src_205D_timeseries,6,avg z dziennych avg lead time
summary_205D_project_pr_flow,project_q1,JefferyHcool/BiliNote,pr_opened_sum_q1,25.0,sum,src_205D_timeseries,90,
summary_205D_project_pr_flow,project_q1,JefferyHcool/BiliNote,pr_merged_sum_q1,21.0,sum,src_205D_timeseries,90,
summary_205D_project_pr_flow,project_q1,JefferyHcool/BiliNote,pr_active_avg_daily_q1,4.4111,avg,src_205D_timeseries,90,
summary_205D_project_pr_flow,project_q1,JefferyHcool/BiliNote,pr_median_lead_time_hours_q1,286.8611,median,src_205D_timeseries,3,median z dziennych median lead time
